tasa_cumplimiento,pagos_puntuales,pagos_atrasados,defaults,atraso_max_periodos,defaults_tras_cobro,antiguedad_periodos,disputas_perdidas,incumplio
1000000,5,1,0,185170,0,6,0,0
800000,4,0,1,0,1,5,0,0
750000,6,0,2,0,0,8,0,0
666666,1,1,1,765438,1,3,0,0
750000,2,1,1,392284,1,4,1,0
1000000,6,2,0,657445,0,8,0,0
500000,4,0,4,0,3,8,0,0
714285,4,1,2,1553947,1,7,0,1
1000000,1,0,0,0,0,1,0,0
333333,1,1,4,676120,3,6,0,0
1000000,5,0,0,0,0,5,0,0
1000000,4,1,0,174344,0,5,0,0
750000,1,2,1,782188,0,4,0,0
1000000,7,0,0,0,0,7,0,0
1000000,5,0,0,0,0,5,0,0
750000,4,2,2,1365684,1,8,0,1
625000,3,2,3,635974,2,8,0,0
1000000,6,0,0,0,0,6,0,0
833333,3,2,1,1611382,1,6,0,1
875000,7,0,1,0,1,8,0,0
1000000,3,0,0,0,0,3,0,0
1000000,7,0,0,0,0,7,0,0
1000000,0,0,0,0,0,0,0,0
333333,0,1,2,536982,0,3,0,0
750000,2,1,1,236349,0,4,0,0
500000,4,0,4,0,2,8,0,1
600000,2,1,2,313968,0,5,0,0
625000,5,0,3,0,3,8,1,0
1000000,2,3,0,1775925,0,5,3,0
1000000,6,0,0,0,0,6,0,0
857142,5,1,1,265401,1,7,0,0
800000,4,0,1,0,0,5,0,0
1000000,4,1,0,52414,0,5,0,0
571428,4,0,3,0,2,7,0,0
1000000,4,1,0,333447,0,5,0,0
1000000,6,1,0,594573,0,7,0,1
1000000,1,2,0,1524841,0,3,0,0
500000,0,4,4,1630362,4,8,0,1
800000,3,1,1,210270,1,5,0,0
500000,1,1,2,1018289,0,4,0,0
800000,3,1,1,297163,1,5,0,0
750000,1,2,1,923468,1,4,0,0
166666,0,1,5,2065570,5,6,0,0
333333,1,0,2,0,1,3,0,1
600000,3,0,2,0,0,5,0,0
714285,4,1,2,1318463,2,7,0,0
0,0,0,3,0,3,3,0,0
833333,3,2,1,1016079,1,6,0,0
1000000,3,0,0,0,0,3,0,0
428571,2,1,4,1004553,4,7,0,0
500000,1,0,1,0,0,2,0,0
1000000,6,2,0,377811,0,8,0,0
500000,1,1,2,615079,2,4,0,0
1000000,8,0,0,0,0,8,0,0
1000000,6,1,0,525227,0,7,0,0
1000000,5,0,0,0,0,5,0,0
500000,3,0,3,0,1,6,3,1
1000000,8,0,0,0,0,8,0,0
1000000,2,0,0,0,0,2,0,0
1000000,6,0,0,0,0,6,0,0
833333,5,0,1,0,0,6,0,0
1000000,2,0,0,0,0,2,0,0
1000000,7,1,0,240551,0,8,0,1
333333,0,2,4,1359932,3,6,3,0
1000000,4,0,0,0,0,4,0,0
714285,5,0,2,0,0,7,0,0
1000000,4,1,0,1476042,0,5,0,0
600000,3,0,2,0,2,5,0,0
800000,2,2,1,1611374,1,5,0,1
1000000,5,1,0,1228291,0,6,0,0
750000,3,0,1,0,0,4,0,0
714285,2,3,2,1512097,2,7,0,0
500000,2,0,2,0,1,4,0,1
800000,4,0,1,0,1,5,0,0
400000,0,2,3,1931143,3,5,0,1
