tasa_cumplimiento,pagos_puntuales,pagos_atrasados,defaults,atraso_max_periodos,defaults_tras_cobro,antiguedad_periodos,disputas_perdidas,score
1000000,8,0,0,0,0,8,0,1000
250000,2,0,6,0,6,8,0,310
0,0,0,0,0,0,0,0,355
1000000,12,12,12,3000000,12,12,5,431
500000,4,4,4,1000000,2,8,1,536
875000,7,0,1,0,0,8,0,910
125000,1,0,7,0,7,8,2,133
750000,3,3,2,500000,1,8,0,746
1000000,8,0,0,0,0,8,3,914
333333,2,1,4,2000000,3,6,1,359
666666,4,0,2,0,1,6,0,719
900000,9,1,1,250000,0,10,0,951
100000,0,1,9,3000000,9,10,4,0
1000000,0,0,0,0,0,0,0,878
0,12,0,0,0,0,12,0,546
0,0,12,0,0,0,12,0,410
0,0,0,12,0,12,12,0,0
0,0,0,0,3000000,0,12,0,289
0,0,0,0,0,0,0,5,204
-1000000,0,0,0,-1000000,0,0,0,355
